Tweet,Date,Retweets,,,,
"My lawyers keep reminding me that you cannot commit PERJURY if you are INNOCENT! Still, I don't want to do it.",Tue Mar 20 18:05:05 +0000 2018,8,,,,
@KimKardashian Save us! ,Tue Mar 20 17:55:10 +0000 2018,0,,,,
@YaffaDina All I know is what's on the Internet ,Tue Mar 20 17:54:27 +0000 2018,0,,,,
I was scared to call because I thought V. Putin would be mad at me about the sanctions! But he understands I have t… ,Tue Mar 20 17:48:23 +0000 2018,12,,,,
"I've been self-financing my tweets since 2013, but if ever you feel like helping me buy my next Diet Coke, all I'm… ",Tue Mar 20 17:39:46 +0000 2018,1,,,,
@mckenzie_neil @walkerdavidm @Elguninho As long as Obama didn't win it first.,Tue Mar 20 17:24:29 +0000 2018,0,,,,
The President of Puerto Rico is an absolute disgrace! It is six months since Hurricane Maria. WHAT THE FUCK IS HE D… ,Tue Mar 20 16:36:49 +0000 2018,16,,,,
I just spoke to V. Putin to congratulate him on his awesome achievement in totally burying his opponents in the lat… ,Tue Mar 20 16:05:34 +0000 2018,11,,,,
The world's last male northern white RINO had died. I'm just sad Roger Ailes didn't live to see it.,Tue Mar 20 16:00:02 +0000 2018,4,,,,
Those brainwashing bastards at Cambridge Analytica made me think I came up with my slogans all by myself! At least… ,Tue Mar 20 13:37:47 +0000 2018,38,,,,
"Now why you know why I call him Sloppy Steve! He left a massive trail of so-called breadcrumbs"" that will lead Nos… """,Tue Mar 20 07:17:04 +0000 2018,53,,,,
Just clicked on the #UltimateDELETION hashtag hoping to confirm that Cambridge Analytica had wiped all their hard d… ,Tue Mar 20 07:03:06 +0000 2018,11,,,,
"After I promised to sign their bipartisan DACA bill and then had to say NO DICE because the Nazis (aka my BASE"") g… """,Tue Mar 20 06:57:24 +0000 2018,29,,,,
Cambridge Analytica is a RUSE! I do not need some limey Old Etonians to make secret sex tapes of GOP politicians. I… ,Tue Mar 20 01:47:27 +0000 2018,14,,,,
"Sanctimonious James @Comey is no longer No. 1 on the Amazon Washington Post FAKE NEWS"" Bestseller List! He's losin… """,Tue Mar 20 01:42:53 +0000 2018,8,,,,
HOW ABOUT WE USE TWO EGGS. AND THEY'RE SCRAMBLED. ,Tue Mar 20 01:36:43 +0000 2018,3,,,,
I woke up at 5AM this morning and I had a great idea: Anti-Drug Commercials! NO ONE has ever tried this before. I'm… ,Tue Mar 20 01:33:22 +0000 2018,113,,,,
I am happy to see Sancti-@Comey-us has been knocked off the top of the Amazon #bestseller list! But @VP is very ups… ,Tue Mar 20 01:00:20 +0000 2018,11,,,,
"Donny, Jr. Is a big believer in Trump family values! ",Tue Mar 20 00:47:56 +0000 2018,28,,,,
I am CHAMPING AT THE BIT to talk to hardened Democrat Robert Mueller! I am BRIMMING WITH CONFIDENCE at my ability t… ,Tue Mar 20 00:13:41 +0000 2018,37,,,,
"Thank you, @ConawayTX11, for agreeing with me and V. Putin that the so-called news"" about Cambridge Analytica is a… """,Mon Mar 19 23:44:35 +0000 2018,7,,,,
"I'm, like, a really smart person. ",Mon Mar 19 23:19:54 +0000 2018,6,,,,
I did not hire Ukrainian sex workers to entrap any of my Republican primary competitors. There are no tapes! It's s… ,Mon Mar 19 22:20:43 +0000 2018,48,,,,
.@Channel4News is very unfair to the fine people at Cambridge Analytica! How dare they SECRETLY RECORD Alexander Ni… ,Mon Mar 19 22:04:28 +0000 2018,4,,,,
People who lost money when the Stock Market went down 335 points based on the False and Dishonest behavior of my ca… ,Mon Mar 19 21:16:33 +0000 2018,41,,,,
Many people are telling me I should have had my military parade on #NationalPoultryDay instead of #VeteransDay. I don't get it.,Mon Mar 19 20:39:42 +0000 2018,20,,,,
They can turn our nuclear power on and off at will but NO VOTES WERE AFFECTED! ,Mon Mar 19 20:36:58 +0000 2018,16,,,,
We use the same unbreakable code when renting Trump apartments! ,Mon Mar 19 20:15:56 +0000 2018,15,,,,
Oh shit. ,Mon Mar 19 18:59:56 +0000 2018,121,,,,
"I call Jeff Sessions Mr. Magoo"" every time I need to remind him he didn't see that thing I just did.""",Mon Mar 19 18:13:03 +0000 2018,6,,,,
"@JeffreyToobin @NewYorker @realDonaldTrump @Twitter After this exchange, I was one of the first people… ",Mon Mar 19 18:02:11 +0000 2018,9,,,,
How dare @JimCarrey paint an unflattering portrait of @SarahHuckabee. SO INAPPROPRIATE!!! ,Mon Mar 19 17:49:37 +0000 2018,36,,,,
I did tell you it was rigged at the time. ,Mon Mar 19 17:19:41 +0000 2018,6,,,,
Many PEOPLE as are saying this VERY THING!!!!!!!!!!! ,Mon Mar 19 16:47:32 +0000 2018,9,,,,
"When Sarah Palin said the debt was like slavery, my supporters suddenly got a lot more comfortable with it!… ",Mon Mar 19 16:22:36 +0000 2018,16,,,,
The national debt is now $21 TRILLION. The biggest in history! You are welcome. #MAGA #KAG,Mon Mar 19 16:19:53 +0000 2018,59,,,,
V. Putin is smart! He wins in every election in which he competes. ,Mon Mar 19 15:57:01 +0000 2018,12,,,,
Many people are telling me I will not destroy America. But give me time. I'm only just getting started! ,Mon Mar 19 15:38:39 +0000 2018,11,,,,
"Just got a very nice call from V. Putin congratulating me on my latest accolade. He says being named The Un-Americ… """,Mon Mar 19 14:41:39 +0000 2018,50,,,,
Cyrus Vance refused to prosecute Harvey Weinstein despite incontrovertible evidence he was a serial sexual predator… ,Mon Mar 19 12:20:39 +0000 2018,102,,,,
"Spent lots of time with Hope. She steamed my trousers while I was wearing them (she was like a daughter to me!), bu… ",Mon Mar 19 02:24:30 +0000 2018,56,,,,
"Every time #TheWalkingDead trends on Twitter, I get calls from H.R. McMaster, Jeff Sessions, Ben Carson, David Shul… ",Mon Mar 19 01:48:57 +0000 2018,23,,,,
I am not considering or discussing firing Robert Mueller!! I am just trying to figure out when to fire Jeff “MR. MA… ,Mon Mar 19 01:44:02 +0000 2018,36,,,,
I'm the King of Debt. ,Sun Mar 18 23:37:14 +0000 2018,122,,,,
